version,num_workers,bucket_size,spawn_threshold,total_time,tree_time,forces_time,bodies_time
12,32,4,500,38.358834103,26.970901126,4.772271572,0.183017486
12,32,4,500,38.889274031,27.404654617,4.674276894,0.200644167
12,32,4,500,38.203608539,27.000767489,4.716313225,0.185230526
12,32,4,500,38.980231583,27.457803386,4.860625824,0.200094672
12,48,4,500,39.146742811,28.479141790,3.388817409,0.224540395
12,48,4,500,38.930471323,28.360081723,3.270673421,0.230384791
12,48,4,500,38.394503877,28.135992912,3.233748934,0.199508151
12,48,4,500,39.781555888,29.049265394,3.078649667,0.246431699
12,48,4,500,38.490280996,27.965690974,3.201001090,0.214365078
12,48,4,500,38.243005503,27.885334688,3.338572978,0.199617490
12,64,4,500,40.473535193,29.599819087,2.531920745,0.234670181
12,64,4,500,41.949747488,30.812902706,2.490846465,0.264295550
12,64,4,500,41.714972354,30.687244880,2.428927004,0.259071068
12,64,4,500,43.470237531,32.148615239,2.498607203,0.274753801
12,64,4,500,41.444716538,31.639901767,2.449088326,0.246636201
12,64,4,500,41.060509973,30.136673149,2.499994977,0.261009494
12,80,4,500,41.421419590,30.434696991,2.201531838,0.278400946
12,80,4,500,43.031834513,31.901077727,2.142086644,0.285565871
12,80,4,500,42.584386954,31.747131104,2.128699557,0.270674860
12,80,4,500,41.086665319,30.126566799,2.082503439,0.285875405
12,80,4,500,41.000547337,30.130659927,2.196757853,0.258089279
12,80,4,500,41.477132065,30.561851081,2.191253653,0.269937923
12,96,4,500,42.493650764,31.939536877,2.007576664,0.297979833
12,96,4,500,42.838747083,32.408482411,1.947256870,0.284608996
12,96,4,500,43.808986338,32.939848925,1.932061542,0.301336591
12,96,4,500,42.051943735,31.570933773,1.884581289,0.289353671
12,96,4,500,43.093957240,32.633359569,1.884534648,0.291637999
12,96,4,500,43.426169245,32.773064416,1.932785109,0.292177374
12,112,4,500,42.259410780,31.756796018,1.970330902,0.304138993
12,112,4,500,43.783125963,33.267652997,1.750284006,0.330337984
12,112,4,500,43.797058994,33.269765195,1.715547093,0.307676460
12,112,4,500,43.974134948,33.595504345,1.735649606,0.318496401
12,112,4,500,43.840582273,33.262134832,1.757628343,0.303662260
12,112,4,500,44.200455458,33.555446657,1.776008843,0.323780877
12,128,4,500,43.856637411,33.269494623,1.776274903,0.328410176
12,128,4,500,43.808832356,33.273515207,1.639619853,0.315068321
12,128,4,500,44.533057488,33.957068447,1.733925301,0.354981084
12,128,4,500,44.124937340,33.751179195,1.594636957,0.319235735
12,128,4,500,44.255165776,33.680799305,1.724484700,0.330333192
12,128,4,500,44.417216028,33.774565350,1.728465768,0.334990108
