version,num_workers,depth,dim,time_secs
11,1,7,64,137.254258864
11,1,7,64,137.140833584
11,1,7,64,137.321511473
11,1,7,64,137.329157997
11,1,7,64,137.455318594
11,1,7,64,137.171294382
11,2,7,64,74.188667882
11,2,7,64,74.349731971
11,2,7,64,74.266920908
11,2,7,64,74.271302089
11,2,7,64,74.139191025
11,2,7,64,74.261632990
11,4,7,64,39.519458043
11,4,7,64,39.346776357
11,4,7,64,37.375887099
11,4,7,64,39.498455459
11,4,7,64,37.406045716
11,4,7,64,37.295597124
11,8,7,64,19.569927842
11,8,7,64,19.414239167
11,8,7,64,19.578622312
11,8,7,64,18.768034099
11,8,7,64,18.774442569
11,8,7,64,19.707372836
11,16,7,64,9.951409900
11,16,7,64,9.935488553
11,16,7,64,9.913718897
11,16,7,64,9.931031676
11,16,7,64,9.867614647
11,16,7,64,10.028637057
11,32,7,64,5.094155643
11,32,7,64,5.157324384
11,32,7,64,5.202779598
11,32,7,64,5.151148547
11,32,7,64,5.145546177
11,32,7,64,5.145498526
11,48,7,64,3.672824794
11,48,7,64,3.676150196
11,48,7,64,3.661582135
11,48,7,64,3.695320403
11,48,7,64,3.699080059
11,48,7,64,3.668362600
11,64,7,64,2.948779866
11,64,7,64,2.955635074
11,64,7,64,2.979419583
11,64,7,64,2.948282191
11,64,7,64,2.950415516
11,64,7,64,3.000017446
11,80,7,64,2.539697103
11,80,7,64,2.579244360
11,80,7,64,2.576995932
11,80,7,64,2.540253530
11,80,7,64,2.571541946
11,80,7,64,2.565764422
11,96,7,64,2.274052019
11,96,7,64,2.306434548
11,96,7,64,2.299791938
11,96,7,64,2.290378753
11,96,7,64,2.285401762
11,96,7,64,2.278416261
11,112,7,64,2.112333908
11,112,7,64,2.138132678
11,112,7,64,2.087183227
11,112,7,64,2.096176439
11,112,7,64,2.092468356
11,112,7,64,2.079091842
11,128,7,64,1.963408764
11,128,7,64,1.999019641
11,128,7,64,1.981121499
11,128,7,64,1.967164997
11,128,7,64,1.968635891
11,128,7,64,1.989604566
12,1,7,64,136.984294749
12,1,7,64,136.625114782
12,1,7,64,136.619961879
12,1,7,64,136.604823946
12,1,7,64,136.461914200
12,1,7,64,136.601238080
12,2,7,64,87.859839780
12,2,7,64,85.075584122
12,2,7,64,86.951093368
12,2,7,64,86.774896374
12,2,7,64,85.485093253
12,2,7,64,84.963737442
12,4,7,64,39.172335211
12,4,7,64,36.452082974
12,4,7,64,36.778022280
12,4,7,64,36.521354313
12,4,7,64,36.725919543
12,4,7,64,36.688256619
12,8,7,64,18.669443731
12,8,7,64,18.784033653
12,8,7,64,18.861087114
12,8,7,64,18.508982978
12,8,7,64,18.848943861
12,8,7,64,18.652313518
12,16,7,64,9.806517618
12,16,7,64,9.675254423
12,16,7,64,9.840614081
12,16,7,64,9.716970148
12,16,7,64,9.863825861
12,16,7,64,9.755860628
12,32,7,64,5.282436518
12,32,7,64,5.113006755
12,32,7,64,5.053891747
12,32,7,64,5.153886956
12,32,7,64,5.176916530
12,32,7,64,5.154726011
12,48,7,64,3.720367849
12,48,7,64,3.665363498
12,48,7,64,3.678186053
12,48,7,64,3.674965836
12,48,7,64,3.700477122
12,48,7,64,3.640187093
12,64,7,64,3.005050823
12,64,7,64,2.983747925
12,64,7,64,2.990707524
12,64,7,64,2.975216908
12,64,7,64,2.972715304
12,64,7,64,2.981879630
12,80,7,64,2.610576514
12,80,7,64,2.566732274
12,80,7,64,2.585944829
12,80,7,64,2.548195030
12,80,7,64,2.596558975
12,80,7,64,2.564394624
12,96,7,64,2.347398141
12,96,7,64,2.323874809
12,96,7,64,2.308887111
12,96,7,64,2.299505986
12,96,7,64,2.298704346
12,96,7,64,2.303251922
12,112,7,64,2.135776077
12,112,7,64,2.131764668
12,112,7,64,2.134254644
12,112,7,64,2.118159867
12,112,7,64,2.129809292
12,112,7,64,2.136291316
12,128,7,64,2.008197844
12,128,7,64,1.999935882
12,128,7,64,2.005701208
12,128,7,64,1.989061736
12,128,7,64,1.999891262
12,128,7,64,1.997671535
