version,num_workers,threshold,array_length,random_seed,time_secs
11,16,2000000000,42,2097152,9.034499275
11,16,2000000000,42,2097152,8.933615365
11,16,2000000000,42,2097152,8.970770928
11,16,2000000000,42,2097152,9.142731967
11,16,2000000000,42,2097152,9.111098950
11,16,2000000000,42,2097152,9.157821283
11,32,2000000000,42,2097152,5.313035290
11,32,2000000000,42,2097152,5.252977550
11,32,2000000000,42,2097152,5.282205802
11,32,2000000000,42,2097152,5.280655915
11,32,2000000000,42,2097152,5.303121582
11,32,2000000000,42,2097152,5.206905320
11,48,2000000000,42,2097152,3.731191831
11,48,2000000000,42,2097152,3.707676921
11,48,2000000000,42,2097152,3.717758497
11,48,2000000000,42,2097152,3.709934269
11,48,2000000000,42,2097152,3.664607964
11,48,2000000000,42,2097152,3.703085312
11,64,2000000000,42,2097152,3.163331270
11,64,2000000000,42,2097152,3.127027316
11,64,2000000000,42,2097152,3.115589845
11,64,2000000000,42,2097152,3.116746625
11,64,2000000000,42,2097152,3.095146396
11,64,2000000000,42,2097152,3.124642604
11,80,2000000000,42,2097152,2.929096068
11,80,2000000000,42,2097152,2.825387351
11,80,2000000000,42,2097152,2.837073704
11,80,2000000000,42,2097152,2.761463320
11,80,2000000000,42,2097152,2.779676722
11,80,2000000000,42,2097152,2.812937203
11,96,2000000000,42,2097152,2.722752507
11,96,2000000000,42,2097152,2.711982166
11,96,2000000000,42,2097152,2.651329295
11,96,2000000000,42,2097152,2.687917900
11,96,2000000000,42,2097152,2.690829594
11,96,2000000000,42,2097152,2.666772310
11,112,2000000000,42,2097152,2.619050601
11,112,2000000000,42,2097152,2.603677981
11,112,2000000000,42,2097152,2.584903133
11,112,2000000000,42,2097152,2.606296016
11,112,2000000000,42,2097152,2.566061101
11,112,2000000000,42,2097152,2.578528073
11,128,2000000000,42,2097152,2.632296150
11,128,2000000000,42,2097152,2.570713980
11,128,2000000000,42,2097152,2.586906501
11,128,2000000000,42,2097152,2.616109209
11,128,2000000000,42,2097152,2.588942005
11,128,2000000000,42,2097152,2.613779499
12,1,2000000000,42,2097152,130.714515695
12,1,2000000000,42,2097152,130.488724831
12,1,2000000000,42,2097152,130.718332939
12,1,2000000000,42,2097152,130.458996217
12,1,2000000000,42,2097152,130.698964845
12,1,2000000000,42,2097152,130.755676517
12,2,2000000000,42,2097152,65.477670722
12,2,2000000000,42,2097152,65.430195246
12,2,2000000000,42,2097152,65.620621897
12,2,2000000000,42,2097152,65.478228042
12,2,2000000000,42,2097152,65.473797449
12,2,2000000000,42,2097152,65.403334780
12,4,2000000000,42,2097152,33.720640249
12,4,2000000000,42,2097152,33.363208077
12,4,2000000000,42,2097152,33.197585529
12,4,2000000000,42,2097152,33.501776067
12,4,2000000000,42,2097152,33.727828625
12,4,2000000000,42,2097152,33.168610940
12,8,2000000000,42,2097152,17.046153488
12,8,2000000000,42,2097152,16.899619442
12,8,2000000000,42,2097152,17.050287541
12,8,2000000000,42,2097152,16.722025754
12,8,2000000000,42,2097152,16.576266947
12,8,2000000000,42,2097152,16.653039223
12,16,2000000000,42,2097152,8.619407751
12,16,2000000000,42,2097152,8.437403041
12,16,2000000000,42,2097152,8.452413807
12,16,2000000000,42,2097152,8.536080054
12,16,2000000000,42,2097152,8.445905789
12,16,2000000000,42,2097152,8.612573814
12,32,2000000000,42,2097152,4.928915471
12,32,2000000000,42,2097152,4.800906718
12,32,2000000000,42,2097152,4.791571215
12,32,2000000000,42,2097152,4.830059892
12,32,2000000000,42,2097152,4.887511485
12,32,2000000000,42,2097152,4.820737740
12,48,2000000000,42,2097152,3.252903675
12,48,2000000000,42,2097152,3.237269951
12,48,2000000000,42,2097152,3.239932291
12,48,2000000000,42,2097152,3.229408013
12,48,2000000000,42,2097152,3.240883681
12,48,2000000000,42,2097152,3.252427701
12,64,2000000000,42,2097152,2.710471770
12,64,2000000000,42,2097152,2.678150470
12,64,2000000000,42,2097152,2.698900818
12,64,2000000000,42,2097152,2.711402457
12,64,2000000000,42,2097152,2.710449628
12,64,2000000000,42,2097152,2.687935176
12,80,2000000000,42,2097152,2.355457529
12,80,2000000000,42,2097152,2.361676178
12,80,2000000000,42,2097152,2.388226953
12,80,2000000000,42,2097152,2.381449567
12,80,2000000000,42,2097152,2.362710259
12,80,2000000000,42,2097152,2.414707036
12,96,2000000000,42,2097152,2.311445244
12,96,2000000000,42,2097152,2.329455620
12,96,2000000000,42,2097152,2.326753178
12,96,2000000000,42,2097152,2.305495683
12,96,2000000000,42,2097152,2.340927408
12,96,2000000000,42,2097152,2.310518015
12,112,2000000000,42,2097152,2.266709616
12,112,2000000000,42,2097152,2.276307737
12,112,2000000000,42,2097152,2.266948133
12,112,2000000000,42,2097152,2.286605430
12,112,2000000000,42,2097152,2.279439132
12,112,2000000000,42,2097152,2.268209772
12,128,2000000000,42,2097152,2.251215136
12,128,2000000000,42,2097152,2.264376286
12,128,2000000000,42,2097152,2.257028013
12,128,2000000000,42,2097152,2.230590191
12,128,2000000000,42,2097152,2.268763938
12,128,2000000000,42,2097152,2.270668167
